;001;002;003;004;005;006;007;008;009;010; avg 
8.0-8.5
5HT2B; 0.9119897959183645; 0.7493571428570943; 0.9091632653061024; 0.9294489795918174; 0.7514795918367206; 0.7791326530611902; 0.8432551020407881; 0.8344999999999814; 0.8999897959183634; 0.7876530612244591;0.83959693877548814000 
5HT2C; 0.719918367346916; 0.7382959183673139; 0.8782959183673327; 0.8488469387754838; 0.9212959183673428; 0.934336734693875; 0.8511836734693673; 0.8111428571428265; 0.7254897959183304; 0.7471224489795426;0.81759285714283310000 
ADA2A; 0.7728571428571103; 0.9143367346938657; 0.8531632653061082; 0.896183673469386; 0.9055408163265166; 0.8931326530612271; 0.7352244897958942; 0.860714285714272; 0.8765102040816267; 0.8109999999999662;0.85186632653059730000 
CDK2;; 0.7791428571428464;;;;;;; 0.7251479893855995; 0.8178505817513786;0 
HDAC01; 0.6576326530611962; 0.7522244897958839; 0.6952959183673127; 0.7183877551020054; 0.5936326530611912; 0.703836734693832; 0.6552857142856737; 0.6596734693876989; 0.6928061224489529; 0.7964183673469118;0.69251938775506587000 
PXR_Agonist; 0.8354843253904057; 0.7119278017980781; 0.7708672174875358; 0.6845338341309627; 0.6903246788443829; 0.7603133838301847; 0.6257974891953227; 0.7074356333676792; 0.7034014932327776; 0.831691760315883;0.73217776175932124000 
8.5-9.0
ACM1_Agonist; 0.8726428571428319; 0.840816326530576; 0.8713673469387578;; 0.9110102040816309; 0.9673402735252075;; 0.8912244897959002; 0.9572755102040724; 0.9422959183673248;0 
ADA2B_Antagonist; 0.8992346938775421; 0.8811938775510029; 0.9006938775510103; 0.8464285714285426; 0.8537653061224237; 0.8258877551020335; 0.8473877551020099; 0.7730816326530375; 0.8567142857142558; 0.8897551020407981;0.85741428571426564000 
ADA2C_Antagonist; 0.7751734693877272; 0.9157244897959166; 0.8070816326530347; 0.8789285714285621; 0.7786428571428274; 0.878806122448963; 0.8494183673469163; 0.9105306122448972; 0.9428979591836675; 0.860765306122428;0.85979693877549400000 
CHK1; 0.7098876404494655; 0.8799448304045203; 0.8498775010208378; 0.7363692056360971; 0.8374030216414988; 0.8780637254901893; 0.8429812014711908; 0.6939477444376366; 0.7840445079624397; 0.7867088607595112;0.79992282392733871000 
9.0-9.5
5HT1F_Agonist; 0.9652244897959091; 0.9936530612244897; 0.9303469387754849; 0.9389897959183456; 0.8762448979591548; 0.9230612244897669; 0.9121326530611878; 0.9553061224489663; 0.9187653061224177; 0.9913265306122448;0.94050510204079676000 
DRD1_Antagonist; 0.9672857142857109; 0.9884897959183658; 0.97373469387754; 0.9373775510203853; 0.9878775510204075; 0.897071428571412; 0.9888163265306089; 0.9820204081632647; 0.9682551020408013; 0.9047244897959061;0.95956530612244025000 
DRD2_Agonist; 0.8977857142856954; 0.9102653061224194; 0.938999999999992; 0.8728673469387538; 0.9622653061224397; 0.9194693877550743; 0.8747551020407954; 0.9099081632652944; 0.9754999999999987; 0.8654897959183571;0.91273061224488202000 
LSHR_Antagonist; 0.8702755102040637; 0.9142040816326387; 0.9248061224489575; 0.9198979591836466; 0.944663265306105; 0.8543775510203705; 0.9284591836734455; 0.8357653061224106; 0.8494795918367073; 0.8042551020407687;0.88461836734691141000 
OPRM_Agonist; 0.9884081632653023; 0.9724387755101999; 0.9655510204081517; 0.9715408163265266; 0.916448979591831; 0.9802653061224453; 0.9230714285714315; 0.9858571428571417; 0.9236836734693689; 0.9845918367346886;0.96118571428570875000 
9.8-1.0
DHFR; 0.9837436906087818; 0.9513180018800157; 0.9538703870386945; 0.9642116114025903; 0.9780259727236241; 0.9758226997985259; 0.8883610986041647; 0.9203715728237486; 0.9840658102321391; 0.9487294805486659;0.95485203256609506000 
MTR1A_Agonist; 0.9329489795918122; 0.9807959183673448; 0.8890612244897597; 0.9407448979591643; 0.9847551020408151; 0.9106224489795566; 0.9541428571428476; 0.9531428571428427; 0.9454897959183431; 0.9869081632653063;0.94786122448977924000 
MTR1B_Agonist; 0.9424693877550803; 0.8692857142856892; 0.921142857142851; 0.9392040816326471; 0.9924591836734685; 0.9352755102040713; 0.9614999999999937; 0.9047755102040409; 0.96221428571428; 0.9543265306122336;0.93826530612243556000 
P38; 0.9433696546053127; 0.940825682524703; 0.9430392761669337; 0.8610288065843632; 0.9640107061972407; 0.9654178674351611; 0.8829651288715453; 0.842884188889532; 0.8611846959635672; 0.9561981203265338;0.91609241275648927000 
V2R_Antagonist; 0.9968367346938778; 0.9864081632653063; 0.9972346938775511; 0.9751530612244838; 0.9969897959183676; 0.9815612244897879; 0.9954489795918364; 0.9725408163265178; 0.9953469387755102; 0.9591428571428366;0.98566632653060755000 
